kind,id,key,value
task,88,arrived,156.42
task,88,dev_queue_length,0.0
task,88,dev_time,6.1
task,88,dev_start,228.86
task,88,dev_end,234.95
task,88,test_queue_length,0.0
task,88,test_time,2.2
task,88,test_start,234.95
task,88,test_end,237.15
task,89,arrived,159.03
task,89,dev_queue_length,0.0
task,89,dev_time,9.73
task,89,dev_start,229.55
task,89,dev_end,239.27
task,89,test_queue_length,0.0
task,89,test_time,3.69
task,89,test_start,239.27
task,89,test_end,242.97
task,90,arrived,160.72
task,90,dev_queue_length,0.0
task,90,dev_time,6.73
task,90,dev_start,234.95
task,90,dev_end,241.68
task,90,test_queue_length,0.0
task,90,test_time,6.59
task,90,test_start,241.68
task,90,test_end,248.26
task,91,arrived,162.7
task,91,dev_queue_length,0.0
task,91,dev_time,5.65
task,91,dev_start,239.27
task,91,dev_end,244.92
task,91,test_queue_length,0.0
task,91,test_time,6.04
task,91,test_start,244.92
task,91,test_end,250.97
task,92,arrived,162.75
task,92,dev_queue_length,0.0
task,92,dev_time,9.46
task,92,dev_start,241.68
task,92,dev_end,251.14
task,92,test_queue_length,0.0
task,92,test_time,7.29
task,92,test_start,251.14
task,92,test_end,258.43
task,93,arrived,165.12
task,93,dev_queue_length,0.0
task,93,dev_time,2.81
task,93,dev_start,244.92
task,93,dev_end,247.74
task,93,test_queue_length,0.0
task,93,test_time,5.38
task,93,test_start,248.26
task,93,test_end,253.64
task,94,arrived,165.17
task,94,dev_queue_length,0.0
task,94,dev_time,4.58
task,94,dev_start,247.74
task,94,dev_end,252.32
task,94,test_queue_length,0.0
task,94,test_time,2.51
task,94,test_start,253.64
task,94,test_end,256.15
task,95,arrived,166.82
task,95,dev_queue_length,0.0
task,95,dev_time,3.25
task,95,dev_start,251.14
task,95,dev_end,254.39
task,95,test_queue_length,0.0
task,95,test_time,1.65
task,95,test_start,256.15
task,95,test_end,257.8
task,96,arrived,169.98
task,96,dev_queue_length,0.0
task,96,dev_time,3.26
task,96,dev_start,252.32
task,96,dev_end,255.58
task,96,test_queue_length,0.0
task,96,test_time,4.92
task,96,test_start,257.8
task,96,test_end,262.72
task,97,arrived,170.01
task,97,dev_queue_length,0.0
task,97,dev_time,6.07
task,97,dev_start,254.39
task,97,dev_end,260.46
task,97,test_queue_length,0.0
task,97,test_time,6.52
task,97,test_start,261.43
task,97,test_end,267.96
task,98,arrived,173.09
task,98,dev_queue_length,0.0
task,98,dev_time,3.96
task,98,dev_start,255.58
task,98,dev_end,259.53
task,98,test_queue_length,0.0
task,98,test_time,1.9
task,98,test_start,259.53
task,98,test_end,261.43
task,99,arrived,174.97
task,99,dev_queue_length,0.0
task,99,dev_time,3.76
task,99,dev_start,259.53
task,99,dev_end,263.29
task,99,test_queue_length,0.0
task,99,test_time,3.0
task,99,test_start,263.29
task,99,test_end,266.29
task,100,arrived,175.44
task,100,dev_queue_length,0.0
task,100,dev_time,4.54
task,100,dev_start,260.46
task,100,dev_end,265.0
task,100,test_queue_length,0.0
task,100,test_time,5.78
task,100,test_start,266.29
